date,hair_loss,stay_up_late,pressure_level,coffee_consumed,brain_working_duration,stress_level,shampoo_brand,swimming,hair_washing,hair_grease,libido
2021-04-22,A lot,0,Medium,0,0,High,Hair & Shoulder,No,Y,4.0,3
2021-04-23,A lot,0,Medium,0,0,High,Hair & Shoulder,No,N,4.0,5
2021-04-24,Many,1,Medium,2,10,High,Hair & Shoulder,No,Y,4.0,0
2021-04-25,Medium,1,Medium,2,10,High,Hair & Shoulder,No,N,4.0,0
2021-04-26,Medium,1,Medium,2,10,High,Hair & Shoulder,No,Y,4.0,0
2021-04-27,Medium,1,High,2,10,High,Hair & Shoulder,No,N,4.0,0
2021-04-28,Many,8,Very High,9,18,Very High,Hair & Shoulder,No,Y,5.0,0
2021-04-29,Medium,2,High,2,6,Very High,Hair & Shoulder,No,N,4.0,5
2021-04-30,Medium,2,High,1,6,Very High,Hair & Shoulder,No,N,4.0,5
2021-05-01,Many,0,High,2,6,Very High,Hair & Shoulder,No,N,4.0,5
2021-05-02,Many,0,High,2,6,Very High,Hair & Shoulder,No,Y,4.0,5
2021-05-03,Many,8,Very High,10,18,Very High,Hair & Shoulder,No,N,5.0,0
2021-05-04,Many,6,Very High,9,16,Very High,Hair & Shoulder,No,Y,5.0,0
2021-05-05,Many,0,Low,0,7,Medium,Hair & Shoulder,No,N,4.0,5
2021-05-06,Medium,3,Low,0,3,Medium,Hair & Shoulder,No,Y,3.0,5
2021-05-07,Medium,0,Low,0,5,Medium,Hair & Shoulder,No,N,1.0,5
2021-05-08,Medium,1,Low,0,2,Medium,Hair & Shoulder,No,Y,2.0,4
2021-05-09,Medium,2,Low,0,1,Medium,Hair & Shoulder,No,N,1.0,3
2021-05-10,Medium,0,Low,0,6,Low,Hair & Shoulder,No,Y,2.0,2
2021-05-11,Few,1,Low,0,3,Low,Hair & Shoulder,No,N,1.0,3
2021-05-12,Few,0,Low,0,7,Low,Hair & Shoulder,No,Y,2.0,2
2021-05-13,Few,2,Low,0,1,Low,Hair & Shoulder,No,N,1.0,0
2021-05-14,Few,0,Low,0,5,Low,Hair & Shoulder,No,N,2.0,0
2021-05-15,Medium,3,Low,0,2,Low,Hair & Shoulder,No,Y,2.0,0
2021-05-16,Few,1,Low,0,1,Low,Hair & Shoulder,No,N,1.0,0
2021-05-17,Few,0,Low,0,2,Low,Hair & Shoulder,No,Y,2.0,0
2021-05-18,Few,1,Low,0,2,Medium,Hair & Shoulder,No,N,1.0,1
2021-05-19,Few,0,Low,0,2,Medium,Hair & Shoulder,No,Y,2.0,0
2021-05-20,Few,2,Low,0,2,Medium,Hair & Shoulder,No,N,1.0,0
2021-05-21,Medium,3,Low,0,1,Medium,Hair & Shoulder,No,Y,2.0,0
2021-05-22,Few,2,Low,0,0,Medium,Hair & Shoulder,No,N,1.0,1
2021-05-23,Few,2,Low,0,3,Medium,Hair & Shoulder,No,Y,2.0,2
2021-05-24,Few,1,Low,0,2,Medium,Hair & Shoulder,No,N,1.0,4
2021-05-25,Medium,0,Low,0,1,Medium,Hair & Shoulder,No,N,2.0,5
2021-05-26,Medium,1,Low,0,0,Medium,Hair & Shoulder,No,Y,2.0,5
2021-05-27,Medium,0,Low,0,1,Medium,Hair & Shoulder,No,N,1.0,5
2021-05-28,Few,2,Low,0,1,Low,Hair & Shoulder,No,Y,2.0,3
2021-05-29,Few,2,Low,0,2,Low,Hair & Shoulder,No,N,1.0,4
2021-05-30,Few,2,Low,0,1,Low,Hair & Shoulder,No,Y,2.0,4
2021-05-31,Few,1,Low,0,0,Low,Hair & Shoulder,No,N,1.0,4
2021-06-01,Few,2,Low,0,1,Medium,Hair & Shoulder,No,Y,2.0,4
2021-06-02,Few,0,Low,0,3,Medium,Hair & Shoulder,No,N,1.0,2
2021-06-03,Medium,3,Low,0,2,Medium,Hair & Shoulder,No,Y,2.0,1
2021-06-04,Few,2,Low,0,2,Medium,Hair & Shoulder,No,N,1.0,1
2021-06-05,Few,0,Low,0,2,Medium,Hair & Shoulder,No,N,2.0,1
2021-06-06,Medium,3,Low,0,0,Low,Hair & Shoulder,No,Y,2.0,1
2021-06-07,Few,2,Low,0,2,Low,Hair & Shoulder,No,N,2.0,1
2021-06-08,Few,0,Low,0,0,Low,Hair & Shoulder,No,N,2.0,3
2021-06-09,Few,2,Low,0,1,Low,Pantene,No,N,2.0,2
2021-06-10,Few,1,Low,0,2,Low,Pantene,Yes,Y,1.0,4
2021-06-11,Medium,2,Low,1,2,Low,Pantene,No,N,2.0,5
2021-06-12,Medium,2,Low,1,2,Low,Pantene,No,N,1.0,5
2021-06-13,Medium,0,Low,1,1,Low,Pantene,Yes,Y,1.0,5
2021-06-14,Medium,0,Low,1,2,Low,Pantene,Yes,Y,2.0,5
2021-06-15,Medium,3,Low,1,1,Low,Pantene,No,N,2.0,5
2021-06-16,Few,2,Low,0,1,Low,Pantene,No,N,3.0,3
2021-06-17,Few,1,Low,0,0,Low,Pantene,Yes,Y,1.0,1
2021-06-18,Few,1,Low,0,2,Low,Pantene,No,N,2.0,1
2021-06-19,Medium,3,Low,1,2,Low,Pantene,No,N,2.0,1
2021-06-20,Few,2,Low,0,0,Low,Pantene,Yes,Y,3.0,1
2021-06-21,Few,2,Low,0,2,Low,Pantene,Yes,Y,1.0,1
2021-06-22,Few,1,Low,0,2,Low,Pantene,No,N,1.0,2
2021-06-23,Few,1,Low,0,0,Low,Pantene,No,N,2.0,1
2021-06-24,Few,0,Low,0,0,Low,Pantene,Yes,Y,2.0,2
2021-06-25,Few,2,Low,0,6,Low,Pantene,No,N,2.0,3
2021-06-26,Few,1,Low,0,2,Low,Pantene,No,N,1.0,3
2021-06-27,Medium,1,Low,1,7,Low,Pantene,Yes,Y,2.0,5
2021-06-28,Medium,1,Low,1,0,Low,Pantene,Yes,Y,2.0,5
2021-06-29,Medium,3,Low,1,5,Low,Pantene,No,N,2.0,5
2021-06-30,Medium,2,Low,1,1,Low,Pantene,No,N,3.0,5
2021-07-01,Few,0,Low,0,1,Low,Pantene,Yes,Y,1.0,4
2021-07-02,Few,1,Low,0,6,Low,Pantene,No,N,2.0,1
2021-07-03,Few,0,Low,0,3,Low,Pantene,No,N,2.0,1
2021-07-04,Medium,3,Low,1,7,Low,Pantene,Yes,Y,2.0,1
2021-07-05,Few,2,Low,0,1,Low,Pantene,Yes,Y,3.0,1
2021-07-06,Few,1,Low,0,5,Low,Pantene,No,N,1.0,2
2021-07-07,Medium,3,Medium,1,2,Low,Pantene,No,N,2.0,3
2021-07-08,Medium,3,Medium,1,1,Low,Pantene,Yes,Y,3.0,4
2021-07-09,Medium,2,Medium,1,8,Medium,Hair & Shoulder,No,N,4.0,5
2021-07-10,Medium,3,Medium,2,8,Medium,Hair & Shoulder,No,N,4.0,5
2021-07-11,Medium,4,Medium,3,9,Medium,Hair & Shoulder,Yes,Y,4.0,5
2021-07-12,Medium,3,Medium,3,9,Medium,Hair & Shoulder,Yes,Y,4.0,3
2021-07-13,Few,3,Medium,3,10,Medium,Hair & Shoulder,No,N,4.0,1
2021-07-14,A lot,4,Low,2,10,Medium,Hair & Shoulder,No,Y,4.0,1
2021-07-15,Medium,3,Low,0,2,Low,Hair & Shoulder,No,N,3.0,1
2021-07-16,Medium,2,Low,0,6,Low,Hair & Shoulder,No,Y,3.0,1
2021-07-17,Few,3,Low,0,1,Low,Hair & Shoulder,No,N,3.0,2
2021-07-18,Few,2,Medium,0,7,Low,Hair & Shoulder,No,Y,3.0,2
2021-07-19,Few,3,Medium,0,1,Low,Hair & Shoulder,No,N,3.0,2
2021-07-20,Few,4,Medium,3,8,Low,Hair & Shoulder,No,Y,4.0,2
2021-07-21,Medium,4,Medium,3,8,Low,Hair & Shoulder,No,N,4.0,2
2021-07-22,Medium,2,Medium,0,1,Low,Hair & Shoulder,No,Y,4.0,5
2021-07-23,Medium,2,Medium,0,6,Low,Hair & Shoulder,No,N,3.0,5
2021-07-24,Medium,2,Medium,0,3,Medium,Hair & Shoulder,No,Y,3.0,5
2021-07-25,Medium,3,High,3,7,High,Hair & Shoulder,No,N,4.0,0
2021-07-26,Medium,2,High,4,7,High,Hair & Shoulder,No,Y,4.0,0
2021-07-27,Many,2,High,4,7,High,Hair & Shoulder,No,N,4.0,0
2021-07-28,Many,4,High,4,8,High,Hair & Shoulder,No,Y,4.0,5
2021-07-29,Many,4,High,4,7,High,Hair & Shoulder,No,N,4.0,4
2021-07-30,A lot,5,High,3,7,High,Hair & Shoulder,No,Y,4.0,5
2021-07-31,A lot,6,High,5,10,High,Hair & Shoulder,No,N,5.0,5
2021-08-01,A lot,0,High,0,7,High,Hair & Shoulder,No,Y,5.0,4
2021-08-02,Many,0,High,0,0,High,Hair & Shoulder,No,N,5.0,3
2021-08-03,Many,0,High,5,12,Very High,Hair & Shoulder,No,Y,5.0,5
2021-08-04,A lot,3,Very High,6,13,Very High,Hair & Shoulder,No,N,5.0,5
2021-08-05,A lot,4,Very High,6,13,Very High,Hair & Shoulder,No,Y,5.0,3
2021-08-06,A lot,4,Very High,6,13,Very High,Hair & Shoulder,No,N,5.0,4
2021-08-07,A lot,6,Very High,7,16,Very High,Hair & Shoulder,No,Y,5.0,5
2021-08-08,A lot,8,Very High,8,18,Very High,Hair & Shoulder,No,N,5.0,4
2021-08-09,A lot,0,Medium,0,0,High,Hair & Shoulder,No,Y,4.0,3
2021-08-10,Many,0,Medium,0,0,High,Hair & Shoulder,No,N,4.0,5
2021-08-11,Many,1,Medium,2,10,High,Hair & Shoulder,No,Y,4.0,0
2021-08-12,Medium,1,Medium,2,10,High,Hair & Shoulder,No,N,4.0,0
2021-08-13,Medium,1,Medium,2,10,High,Hair & Shoulder,No,Y,4.0,0
2021-08-14,Medium,1,High,2,10,High,Hair & Shoulder,No,N,4.0,0
2021-08-15,Medium,1,High,2,11,Very High,Hair & Shoulder,No,Y,4.0,0
2021-08-16,Medium,2,High,1,6,Very High,Hair & Shoulder,No,N,4.0,5
2021-08-17,Many,8,Very High,9,18,Very High,Hair & Shoulder,No,Y,5.0,0
2021-08-18,Many,0,High,2,6,Very High,Hair & Shoulder,No,N,4.0,5
2021-08-19,Many,0,High,2,6,Very High,Hair & Shoulder,No,Y,4.0,5
2021-08-20,Many,8,Very High,10,18,Very High,Hair & Shoulder,No,N,5.0,0
2021-08-21,Medium,2,Low,0,5,Medium,Hair & Shoulder,No,N,2.0,5
2021-08-22,Medium,2,Low,0,2,Medium,Hair & Shoulder,No,Y,2.0,4
2021-08-23,Medium,2,Low,0,2,Medium,Hair & Shoulder,No,N,1.0,3
2021-08-24,Medium,2,Low,0,6,Low,Hair & Shoulder,No,Y,2.0,2
2021-08-25,Few,2,Low,0,0,Low,Hair & Shoulder,No,N,1.0,3
2021-08-26,Few,2,Low,0,7,Low,Hair & Shoulder,No,Y,2.0,2
2021-08-27,Medium,3,Low,0,2,Low,Hair & Shoulder,No,N,1.0,0
2021-08-28,Few,2,Low,0,5,Low,Hair & Shoulder,No,N,2.0,0
2021-08-29,Few,1,Low,0,0,Low,Hair & Shoulder,No,Y,2.0,0
2021-08-30,Few,2,Low,0,2,Low,Hair & Shoulder,No,N,1.0,0
2021-08-31,Medium,0,Low,0,2,Medium,Hair & Shoulder,No,Y,2.0,4
2021-09-01,Medium,2,Low,0,0,Medium,Hair & Shoulder,No,N,1.0,3
2021-09-02,Medium,1,Low,0,6,Low,Hair & Shoulder,No,Y,2.0,2
2021-09-03,Few,1,Low,0,3,Low,Hair & Shoulder,No,N,1.0,3
2021-09-04,Few,2,Low,0,7,Low,Hair & Shoulder,No,Y,2.0,2
2021-09-05,Few,1,Low,0,3,Low,Hair & Shoulder,No,N,1.0,0
2021-09-06,Few,1,Low,0,5,Low,Hair & Shoulder,No,N,2.0,0
2021-09-07,Few,2,Low,0,1,Low,Hair & Shoulder,No,Y,2.0,0
2021-09-08,Few,2,Low,0,2,Low,Hair & Shoulder,No,N,1.0,0
2021-09-09,Few,0,Low,0,2,Low,Hair & Shoulder,No,Y,2.0,0
2021-09-10,Medium,3,Low,0,1,Medium,Hair & Shoulder,No,N,1.0,1
2021-09-11,Medium,3,Low,0,3,Medium,Hair & Shoulder,No,Y,2.0,0
2021-09-12,Few,2,Low,0,0,Medium,Hair & Shoulder,No,N,1.0,0
2021-09-13,Few,0,Low,0,2,Medium,Hair & Shoulder,No,Y,2.0,0
2021-09-14,Few,1,Low,0,1,Medium,Hair & Shoulder,No,N,1.0,1
2021-09-15,Few,1,Low,0,0,Medium,Hair & Shoulder,No,Y,2.0,2
2021-09-16,Few,1,Low,0,1,Medium,Hair & Shoulder,No,N,1.0,4
2021-09-17,Medium,0,Low,0,3,Medium,Hair & Shoulder,No,N,2.0,5
2021-09-18,Medium,3,Low,0,0,Medium,Hair & Shoulder,No,Y,2.0,5
2021-09-19,Medium,3,Low,1,2,Low,Pantene,No,N,3.0,2
2021-09-20,Medium,3,Low,1,0,Low,Pantene,Yes,Y,3.0,4
2021-09-21,Medium,2,Low,1,0,Low,Pantene,No,N,3.0,5
2021-09-22,Medium,1,Low,1,2,Low,Pantene,No,N,1.0,5
2021-09-23,Medium,2,Low,1,3,Low,Pantene,Yes,Y,2.0,5
2021-09-24,Medium,1,Low,1,0,Low,Pantene,Yes,Y,1.0,5
2021-09-25,Medium,2,Low,1,2,Low,Pantene,No,N,2.0,5
2021-09-26,Few,2,Low,0,1,Low,Pantene,No,N,1.0,3
2021-09-27,Few,1,Low,0,2,Low,Pantene,Yes,Y,1.0,1
2021-09-28,Few,2,Low,0,2,Low,Pantene,No,N,2.0,1
2021-09-29,Few,1,Low,0,0,Low,Pantene,No,N,1.0,1
2021-09-30,Few,1,Low,0,1,Low,Pantene,Yes,Y,2.0,1
2021-10-01,Few,1,Low,0,2,Low,Pantene,Yes,Y,2.0,1
2021-10-02,Medium,3,Low,1,3,Low,Pantene,No,N,2.0,2
2021-10-03,Few,0,Low,0,1,Low,Pantene,No,N,3.0,1
2021-10-04,Few,1,Low,0,3,Low,Pantene,Yes,Y,2.0,2
2021-10-05,Few,1,Low,0,6,Low,Pantene,No,N,2.0,3
2021-10-06,Few,1,Low,0,2,Low,Pantene,No,N,2.0,3
2021-10-07,Medium,2,Low,1,7,Low,Pantene,Yes,Y,2.0,5
2021-10-08,Medium,1,Low,1,0,Low,Pantene,Yes,Y,1.0,5
2021-10-09,Medium,2,Low,1,5,Low,Pantene,No,N,2.0,5
2021-10-10,Medium,2,Low,1,2,Low,Pantene,No,N,1.0,5
2021-10-11,Few,0,Low,0,0,Low,Pantene,Yes,Y,1.0,4
2021-10-12,Few,2,Low,0,6,Low,Pantene,No,N,2.0,1
2021-10-13,Few,0,Low,0,0,Low,Pantene,No,N,1.0,1
2021-10-14,Few,2,Low,0,7,Low,Pantene,Yes,Y,2.0,1
2021-10-15,Few,2,Low,0,2,Low,Pantene,Yes,Y,1.0,1
2021-10-16,Medium,3,Low,1,5,Low,Pantene,No,N,1.0,2
2021-10-17,Few,1,Medium,0,3,Low,Pantene,No,N,3.0,3
2021-10-18,Few,1,Medium,0,0,Low,Pantene,Yes,Y,2.0,4
2021-10-19,Medium,2,Medium,1,8,Medium,Pantene,No,N,4.0,5
2021-10-20,Medium,3,Medium,2,8,Medium,Pantene,No,N,4.0,5
2021-10-21,Medium,4,Medium,3,9,Medium,Pantene,Yes,Y,4.0,5
2021-10-22,Medium,3,Medium,3,9,Medium,Pantene,Yes,Y,4.0,3
2021-10-23,Few,3,Medium,3,10,Medium,Pantene,No,N,4.0,1
2021-10-24,Medium,4,Low,2,10,Medium,Pantene,No,Y,4.0,1
2021-10-25,Medium,3,Low,0,3,Low,Pantene,No,N,3.0,1
2021-10-26,Medium,2,Low,0,6,Low,Pantene,No,Y,3.0,1
2021-10-27,Few,3,Low,0,2,Low,Pantene,No,N,3.0,2
2021-10-28,Few,2,Medium,0,7,Low,Pantene,No,Y,3.0,2
2021-10-29,Few,3,Medium,0,3,Low,Pantene,No,N,3.0,2
2021-10-30,Few,4,Medium,3,8,Low,Pantene,No,Y,4.0,2
2021-10-31,Medium,4,Medium,3,8,Low,Pantene,No,N,4.0,2
2021-11-01,Medium,2,Medium,0,1,Low,Pantene,No,Y,4.0,5
2021-11-02,Medium,2,Medium,0,6,Low,Pantene,No,N,3.0,5
2021-11-03,Medium,2,Medium,0,0,Medium,Hair & Shoulder,No,Y,3.0,5
2021-11-04,Medium,3,High,3,7,High,Hair & Shoulder,No,N,4.0,0
2021-11-05,Medium,2,High,4,7,High,Hair & Shoulder,No,Y,4.0,0
2021-11-06,Many,2,High,4,7,High,Hair & Shoulder,No,N,4.0,0
2021-11-07,Many,4,High,4,8,High,Hair & Shoulder,No,Y,4.0,5
2021-11-08,Many,4,High,4,7,High,Hair & Shoulder,No,N,4.0,4
2021-11-09,Many,5,High,3,7,High,Hair & Shoulder,No,Y,4.0,5
2021-11-10,Many,6,High,5,10,High,Hair & Shoulder,No,N,5.0,5
2021-11-11,Many,0,High,0,7,High,Hair & Shoulder,No,Y,5.0,4
2021-11-12,Many,0,High,0,1,High,Hair & Shoulder,No,N,5.0,3
2021-11-13,Many,0,High,5,12,Very High,Hair & Shoulder,No,Y,5.0,5
2021-11-14,Many,3,Very High,6,13,Very High,Hair & Shoulder,No,N,5.0,5
2021-11-15,A lot,4,Very High,6,13,Very High,Hair & Shoulder,No,Y,5.0,3
2021-11-16,A lot,4,Very High,6,13,Very High,Hair & Shoulder,No,N,5.0,4
2021-11-17,A lot,6,Very High,7,16,Very High,Hair & Shoulder,No,Y,5.0,5
2021-11-18,A lot,8,Very High,8,18,Very High,Hair & Shoulder,No,N,5.0,4
2021-11-19,A lot,0,Medium,0,0,High,Hair & Shoulder,No,Y,4.0,3
2021-11-20,Many,0,Medium,0,0,High,Hair & Shoulder,No,N,4.0,5
2021-11-21,Many,1,Medium,2,10,High,Hair & Shoulder,No,Y,4.0,0
2021-11-22,Medium,1,Medium,2,10,High,Hair & Shoulder,No,N,4.0,0
2021-11-23,Medium,1,Medium,2,10,High,Hair & Shoulder,No,Y,4.0,0
2021-11-24,Medium,1,High,2,10,High,Hair & Shoulder,No,N,4.0,0
2021-11-25,Medium,1,High,2,11,Very High,Hair & Shoulder,No,Y,4.0,0
2021-11-26,Medium,2,High,1,6,Very High,Hair & Shoulder,No,N,4.0,5
2021-11-27,Many,8,Very High,9,18,Very High,Hair & Shoulder,No,Y,5.0,0
2021-11-28,Many,0,High,2,6,Very High,Hair & Shoulder,No,N,4.0,5
